layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
encoder2,mean,false_positive_voxels,False-positive voxels,1036.744,9749.301333333333,8712.557333333334,8712.557333333334,8712.557333333334,5359.1570218963,375
encoder2,mean,boundary_complexity,Boundary complexity,6.174654469857373,11.683561253058217,5.5089067832008425,5.5089067832008425,5.5089067832008425,3.0837819982542123,375
encoder2,mean,dice,Dice,0.8887710221203972,0.615863009440696,-0.27290801267970105,0.27290801267970105,0.27296690374906285,0.1886601286021791,375
encoder2,mean,edema_fraction,Edema fraction,0.6179801798768801,0.585368113101051,-0.03261206677582913,0.10580157435200759,0.10580157435200759,0.09606336134719143,375
encoder2,mean,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.1709048974632022,0.03527124292600876,0.08180179935952335,0.08180179935952335,0.0724821227840502,375
encoder2,mean,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.2437269894351823,-0.002659176149341485,0.07458065225039551,0.07458065225039551,0.07934106481804369,375
encoder2,mean,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5113458256750817,0.006384680208792443,0.060957372352656386,0.060957372352656386,0.05123786936936503,375
encoder2,mean,false_negative_voxels,False-negative voxels,998.28,916.872,-81.408,-81.408,772.3306666666666,2123.3981408680065,375
encoder2,noise,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,22608.256,10967.330666666667,11566.061333333333,11566.061333333333,6090.863221223294,375
encoder2,noise,false_positive_voxels,False-positive voxels,1036.744,11832.706666666667,10795.962666666666,10795.962666666666,10808.266666666666,6379.354222232855,375
encoder2,noise,boundary_complexity,Boundary complexity,6.174654469857373,12.448451614331168,6.273797144473795,6.273797144473795,6.273797144473795,3.186627278622956,375
encoder2,noise,dice,Dice,0.8887710221203972,0.5867037366217565,-0.30206728549864065,0.30206728549864065,0.30206728549864065,0.18801638225215825,375
encoder2,noise,edema_fraction,Edema fraction,0.6179801798768801,0.5531430464685566,-0.0648371334083235,0.1163910244548785,0.1163910244548785,0.10221100740433363,375
encoder2,noise,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.2009199841987115,0.06528632966151801,0.10355510746391837,0.10355510746391837,0.07823654090355421,375
encoder2,noise,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.2459369693322116,-0.0004491962523122032,0.07940967251018015,0.07940967251018015,0.07939282518905949,375
encoder2,noise,centroid_z,Centroid Z (normalized),0.5049611454662892,0.5155211720366967,0.01056002657040755,0.06929500320053034,0.06929500320053034,0.05297903919001334,375
