case_id,dice_bin,baseline_dice,direction_type,random_direction_id,sign,alpha,perturbation_rms_ratio,edema_fraction_before,edema_fraction_after,edema_fraction_delta,analytical_probe_pred_delta,dice_before,dice_after,dice_delta,changed_voxels,source
BraTS2021_00606,medium,0.9224509220702148,probe,,-1,-1.0,0.23985016904771328,0.2248932154563301,0.2519069228539867,0.0270137073976565,-8.114035886373353,0.9196662693683147,0.9199623794968446,0.0002961101285298,813,existing_editing_results
BraTS2021_00606,medium,0.9224509220702148,probe,,1,1.0,0.23985016904771328,0.2248932154563301,0.2026040336991562,-0.0222891817571739,8.114035886373353,0.9196662693683147,0.917127605613411,-0.0025386637549037,704,existing_editing_results
BraTS2021_00606,medium,0.9224509220702148,random,random_00,-1,-1.0,0.23985016904771328,0.22489321545633012,0.23359101876004057,0.00869780330371045,5.985264279597811,0.9224509220702148,0.9197388724035799,-0.0027120496666349636,288,downstream_from_cached_decoder1
BraTS2021_00606,medium,0.9224509220702148,random,random_00,1,1.0,0.23985016904771328,0.22489321545633012,0.2170736589270331,-0.007819556529297028,-5.985264279597811,0.9224509220702148,0.9194258373205935,-0.003025084749621376,250,downstream_from_cached_decoder1
BraTS2021_00606,medium,0.9224509220702148,random,random_01,-1,-1.0,0.23985016904771328,0.22489321545633012,0.20718405873088244,-0.017709156725447678,16.328442630602417,0.9224509220702148,0.9086239788680945,-0.013826943202120301,1105,downstream_from_cached_decoder1
BraTS2021_00606,medium,0.9224509220702148,random,random_01,1,1.0,0.23985016904771328,0.22489321545633012,0.24309732417701013,0.018204108720680012,-16.328442630602414,0.9224509220702148,0.9223172066805054,-0.0001337153897094101,1028,downstream_from_cached_decoder1
BraTS2021_00606,medium,0.9224509220702148,random,random_02,-1,-1.0,0.23985016904771328,0.22489321545633012,0.21883642580569274,-0.006056789650637384,-24.75061400600932,0.9224509220702148,0.9178236577704438,-0.004627264299771006,307,downstream_from_cached_decoder1
BraTS2021_00606,medium,0.9224509220702148,random,random_02,1,1.0,0.23985016904771328,0.22489321545633012,0.2317611296331478,0.006867914176817674,24.75061400600932,0.9224509220702148,0.9210177200796169,-0.001433201990597932,328,downstream_from_cached_decoder1
BraTS2021_00457,medium,0.9378941333843216,probe,,-1,-1.0,0.2393966168165207,0.4737882352936717,0.4965843883773598,0.0227961530836881,-8.114035886373355,0.9368097570345064,0.9305004721435643,-0.006309284890942,438,existing_editing_results
BraTS2021_00457,medium,0.9378941333843216,probe,,1,1.0,0.2393966168165207,0.4737882352936717,0.4511197663092004,-0.0226684689844712,8.114035886373355,0.9368097570345064,0.9404523472229298,0.0036425901884232,423,existing_editing_results
